input,keyword_used,result,pse_name,domain,nomor_tdpse,is_domestik,tanggal_terdaftar,status,checked_at
Tokopedia,Tokopedia,located,GOTO GOJEK TOKOPEDIA,gojek.com,001758.01/DJAI.PSE/12/2021,true,2021-12-13,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.04/DJAI.PSE/09/2024,true,2024-09-05,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.05/DJAI.PSE/11/2024,true,2024-11-04,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.02/DJAI.PSE/03/2024,true,2024-03-22,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,tokopedia.com,000847.01/DJAI.PSE/06/2021,true,2021-06-02,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,partner.tokopedia.com,000847.10/DJAI.PSE/12/2024,true,2024-12-30,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,seller-id.tokopedia.com,000847.09/DJAI.PSE/12/2024,true,2024-12-19,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.08/DJAI.PSE/12/2024,true,2024-12-19,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.03/DJAI.PSE/07/2024,true,2024-07-26,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,ttlsbd.tiktok-go.com,000847.13/DJAI.PSE/08/2026,true,2026-08-21,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.06/DJAI.PSE/11/2024,true,2024-11-26,Terdaftar,2026-09-10T17:31:04+00:00
Tokopedia,Tokopedia,located,TOKOPEDIA,,000847.12/DJAI.PSE/04/2026,true,2026-04-23,Terdaftar,2026-09-10T17:31:04+00:00
Bali Zero,Bali Zero,not_located,,,,,,,2026-09-10T17:31:05+00:00
