no,kode_kbli,judul_kbli,ruang_lingkup,skala_usaha,tingkat_risiko,perizinan_berusaha,persyaratan,jangka_waktu_penerbitan,kewajiban,pb_uu_ikm,parameter,kewenangan
,02209,Usaha Lembaga - Mikro Tinggi NIB dan 1. Pemohon 20 Hari 1. Membuat Seluruh Menteri/,,,Tinggi,NIB dan,"1. Membuat Seluruh 2. Membuat yang yaitu 3. Melakukan kebun karya pembangunbinatang, pengelolaan an taman lembaga infrastruktur satwa, konservasi 4. Mengelola taman untuk lembaga satwa kepentingan konservasi khusus, umum secara kebun 3. Proposal intensif botani, teknis sesuai herbarium,",20 Hari,,,Seluruh,Menteri
,52295,C l.C.2 Ttngket Perizinan Persyaratan Janglra Kcwqilban PB Parameter Kewenangan KBLI KBLI Llngkup Usaha Rislko,,,Tinggi,NIB dan,6. Persetujuan kan laporan teknis triwulan dan 8. Bukti an pembayaran pengelolaan 1. Membangun Seluruh,14 Hari,,,Seluruh,Menteri
,52576,C PRESIDEN REPUBLTK INDONESIA Tingkat Perlzinan Pcrsyaratan Jangla KcwaJiban PB Panmeter Keweaangan KBLI KBLI Lingkup,,,,,"2. Memiliki BUMD, 2. Dokumen limbah legalitas asal kotoran dan usul induk, sisa benih atau makanan bibit satwa 3. Menyusun teknis laporan 4. Bukti triwulan, kepemilikan membuat atau legalitas studbook, penguasaan 5. Persetujuan dan/atau teknis pencatatan",,,,,
,52297,C t.c.4 No Kode Judul Ruang SLaIa Tingtat Perizinan Persyaratan Jangka Kewajiban PB Parameter Keweaangan,,,Tinggi,NIB dan,7. Bukti kesejahterapembayaran an satwa 1. Membangun Seluruh 2. Proposal memadai dan 3. Pertimbangan ketentuan teknis dari perundangKepala 2. Memiliki Besar,14 Hari,,,Seluruh,Menteri
,52299,C No Kode Judul Ruang SLala Tinglet Perizlnan Persyaratan Jangka KewaJiban PB Plrameter Kewcaangen KBLI,,,,,"2. Proposal an yang teknis memadai dan 3. Pertimbangan memenuhi teknis dari ketentuan 2. Memiliki dilampiri 4. Pakta menyampaiintegritas kan laporan yang transaksi bermeterai 5. Bukti kan kondisi pembayaran satwa hidup,",,,,,
,52300,C PRESIDEN REPUBLIK INOONESIA IIo Kode Judul Ruang SLafe TingLat Pcrizlnan Persyaratan Jangka Kewqfiban PB,,,Tinggi,NIB dan,1. Memelihara 2. Proposal yang teknis diperagakan 3. Pertimbangan 2. Menyampaiteknis kan laporan 4. Bukti mengenai kepemilikan perkembansSK,14 Hari,,,Seluruh,Menteri
,52301,C I{o Kode Judul Ruang SLala TingLet Periziann Persyaratan JangLa Kcwqiiban PB Perameter Kewcnangan KBLI,,,,,5. Sertifikasi (enam) bulan dan/atau sekali kepada penandaan 3. Mengasuranketerangan sikan kesehatan tumbuhan satwa untuk dan satwa jenis satwa liar liar hidup dilindungi dari instansi yang yang diperagakan berwenang 4. Menyiapkan 7. Pakta bank garansi integritas sebagai dana yang jaminan bermeterai untuk 8. Bukti pengangkutpembayaran an kembali,,,,,
,52302,C No Kodc Judul Ruang St ala TingLat Perizinan Persyaratan Jangta Kewrjiban PB Parameter Keweaangan,,,,,5. Membayar perundangiuran/ undangan pungutan spesimen tumbuhan dan satwa liar yang diperagakan sesuai ketentuan yang berlaku 6. Menyampaikan laporan disertai,,,,,
,52303,C No Kode Judul Ruang SLala TtngLat Perizinan Persyaratan Janglra Kewqfiban PB Paramctcr Kewenengan KBLI,,,,,7. Menggunakan prasarana dalam melakukan pengangkutan tumbuhan,,,,,
,52304,C FRESIDEN REPUBLIK INOONESIA I5o Kode Judul Ruang Stala Tingkat Perizinan Pereyaratan Jangka Kcwqiiban PB,,,Tinggi,NIB dan Izin,1. MenyelengSeluruh,25 Hari,,,Seluruh,Menteri
