# LaunchAgent (169) — label + RunAtLoad/KeepAlive/Program
com.nuzantara.archive-empty-sessions.daily | prog=bash | KeepAlive=false
com.nuzantara.automap-server | prog=python3 | KeepAlive=true
com.nuzantara.automap-telegram | prog=python3 | KeepAlive=true
com.nuzantara.automap-watchdog | prog=python3 | KeepAlive=
com.nuzantara.automations-reference | prog=bash | KeepAlive=
com.nuzantara.branch-cleanup.weekly | prog=bash | KeepAlive=false
com.nuzantara.cell-observatory-prune | prog=bash | KeepAlive=
com.nuzantara.cell-observatory-selfcheck | prog=bash | KeepAlive=
com.nuzantara.cell-observatory | prog=bash | KeepAlive=true
com.nuzantara.claude-config-sync | prog=bash | KeepAlive=
com.nuzantara.cleanup-2026-05-16-ttl-sentinel | prog=bash | KeepAlive=
com.nuzantara.codex-autofix-ci | prog=bash | KeepAlive=
com.nuzantara.codex-coverage-improver | prog=bash | KeepAlive=
com.nuzantara.codex-openclaw-analysis | prog=bash | KeepAlive=false
com.nuzantara.codex-overnight-feeder | prog=bash | KeepAlive=
com.nuzantara.codex-overnight-runner | prog=bash | KeepAlive=
com.nuzantara.codex-research-actor | prog=bash | KeepAlive=
com.nuzantara.codex-spark-alarm | prog=bash | KeepAlive=false
com.nuzantara.codex-spark-harvester | prog=bash | KeepAlive=false
com.nuzantara.codex-spark-loop | prog=bash | KeepAlive=true
com.nuzantara.cost-advisor-daily-cap | prog=bash | KeepAlive=
com.nuzantara.cost-advisor-weekly | prog=bash | KeepAlive=
com.nuzantara.cpu-monitor | prog=cpu-monitor.sh | KeepAlive=
com.nuzantara.disk-monitor | prog=disk-monitor.sh | KeepAlive=
com.nuzantara.dlq-autopilot | prog=bash | KeepAlive=
com.nuzantara.federation-alert-dispatcher | prog=bash | KeepAlive=true
com.nuzantara.fly-restart-loop-detector | prog=fly-restart-loop-detector.sh | KeepAlive=
com.nuzantara.gh-auth-healthcheck.weekly | prog= | KeepAlive=
com.nuzantara.heartbeat-bridge | prog=bash | KeepAlive=true
com.nuzantara.launchagent-state-bridge | prog=python3 | KeepAlive=true
com.nuzantara.launchd-env-loader | prog=bash | KeepAlive=false
com.nuzantara.login-healthcheck | prog=login-healthcheck.sh | KeepAlive=
com.nuzantara.memory-sync-bidirectional | prog=bash | KeepAlive=
com.nuzantara.nb-intel-delta-watcher.hourly | prog=bash | KeepAlive=false
com.nuzantara.nb-mitochondrial-monitor.daily | prog=python | KeepAlive=false
com.nuzantara.openclaw-children-watchdog | prog=openclaw-children-watchdog.sh | KeepAlive=
com.nuzantara.openclaw-logrotate | prog=bash | KeepAlive=false
com.nuzantara.openclaw-whatsapp-bridge | prog=run_openclaw_whatsapp_bridge.sh | KeepAlive=true
com.nuzantara.openclaw-whatsapp-tunnel | prog=run_openclaw_whatsapp_tunnel.sh | KeepAlive=true
com.nuzantara.openclaw.guardian-board | prog=guardian-board-report | KeepAlive=false
com.nuzantara.organism.control-panel | prog=python3 | KeepAlive=true
com.nuzantara.organism.scheduled-tick | prog=python3 | KeepAlive=
