shot_id,priority,category,candidate_file,source_log,source_generated_path,qa_status,approved_asset_id,approved_path,identity_score,technical_score,controllability_score,approved_use,notes
ZAN-V1-PRI-001,P0,identity_anchor,zan_v1_gen_001_identity_front_neutral.png,generated_candidates/logs/zan_v1_gen_001_identity_front_neutral.json,/Users/nuzantara/.codex/generated_images/019e2d23-88fe-7d52-95c4-48042ab2c5e3/ig_0e973f8e38b14fc9016a0776102e0881918eec440d9904d774.png,approved_candidate,ZAN-V1-A005,approved/anchors/zan_v1_a005_front_neutral_anchor.png,4.7,4.7,4.8,approved tree only; generated_candidates stays provenance,Mapped to existing promoted front neutral anchor A005 to avoid duplicate weighting.
ZAN-V1-PRI-002,P0,identity_anchor,zan_v1_gen_003_identity_front_serious.png,generated_candidates/logs/zan_v1_gen_003_identity_front_serious.json,/Users/nuzantara/.codex/generated_images/019e2d2c-9c24-7d72-9f44-325426e8c222/ig_061b9b10d18e750d016a07781fab088191a61573a103b416f4.png,approved_candidate,ZAN-V1-A007,approved/anchors/zan_v1_a007_front_serious_anchor.png,4.6,4.7,4.8,approved tree only; generated_candidates stays provenance,Mapped to existing promoted front serious anchor A007 to avoid duplicate weighting.
ZAN-V1-PRI-003,P0,angle,zan_v1_pri_003_left_profile.png,generated_candidates/logs/zan_v1_pri_003_left_profile.json,/Users/nuzantara/.codex/generated_images/019e2d35-46b0-78f3-a36a-9f3e4adb21b5/ig_00848b9c99345179016a077a64f884819185d3851f54ee9c70.png,approved_candidate,ZAN-V1-P001,approved/poses-extended-codex/zan_v1_p001_left_profile_clean.png,4.5,4.7,4.8,approved tree only; generated_candidates stays provenance,Already promoted as clean left-profile angle.
ZAN-V1-PRI-004,P0,angle,zan_v1_pri_004_right_profile.png,generated_candidates/logs/zan_v1_pri_004_right_profile.json,/Users/nuzantara/.codex/generated_images/019e2d5b-1b24-7542-b2a6-a44b911094a1/ig_078456c123de2a77016a078415d7708191a80a0b9edb451b6c.png,approved_candidate,ZAN-V1-P004,approved/poses-extended-codex/zan_v1_p004_right_profile_clean.png,4.4,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Completes the symmetric profile pair; compare with B011 for angle consistency."
ZAN-V1-PRI-005,P0,body,zan_v1_pri_005_full_body_standing.png,generated_candidates/logs/zan_v1_pri_005_full_body_standing.json,/Users/nuzantara/.codex/generated_images/019e2d39-859d-7670-b50e-ed87c8d6f93b/ig_0604ae26883c2046016a077bb1cf948191abcac00f68efaba7.png,approved_candidate,ZAN-V1-P002,approved/poses-extended-codex/zan_v1_p002_fullbody_standing_pumps.png,4.4,4.5,4.7,approved tree only; generated_candidates stays provenance,Already promoted as full-body standing reference.
ZAN-V1-PRI-006,P0,body,zan_v1_pri_006_half_body_seated.png,generated_candidates/logs/zan_v1_pri_006_half_body_seated.json,/Users/nuzantara/.codex/generated_images/019e2d39-859d-7670-b50e-ed87c8d6f93b/ig_0604ae26883c2046016a077c1085d48191bd606314bd15d3d2.png,approved_candidate,ZAN-V1-P003,approved/poses-extended-codex/zan_v1_p003_halfbody_seated_stool.png,4.5,4.6,4.8,approved tree only; generated_candidates stays provenance,Already promoted as half-body seated reference.
ZAN-V1-PRI-007,P1,lighting,zan_v1_pri_007_side_light_left.png,generated_candidates/logs/zan_v1_pri_007_side_light_left.json,/Users/nuzantara/.codex/generated_images/019e2d5b-1b24-7542-b2a6-a44b911094a1/ig_078456c123de2a77016a078467c17881919e765a5d2898de05.png,approved_candidate,ZAN-V1-L001,approved/lighting-codex/zan_v1_l001_side_light_left.png,4.5,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Lighting variant; use for shadow robustness, not as the primary face anchor."
ZAN-V1-PRI-008,P1,lighting,zan_v1_pri_008_side_light_right.png,generated_candidates/logs/zan_v1_pri_008_side_light_right.json,/Users/nuzantara/.codex/generated_images/019e2d5b-1b24-7542-b2a6-a44b911094a1/ig_078456c123de2a77016a0784bb44888191afcc0db5558a088d.png,approved_candidate,ZAN-V1-L002,approved/lighting-codex/zan_v1_l002_side_light_right.png,4.5,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Lighting variant; preserves identity under lateral light."
ZAN-V1-PRI-009,P1,lighting,zan_v1_pri_009_high_key_white.png,generated_candidates/logs/zan_v1_pri_009_high_key_white.json,/Users/nuzantara/.codex/generated_images/019e2d5b-1b24-7542-b2a6-a44b911094a1/ig_078456c123de2a77016a078510897081918b88fa4fe1069d32.png,approved_candidate,ZAN-V1-L003,approved/lighting-codex/zan_v1_l003_high_key_white.png,4.4,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. High-key production variant; avoid overweighting against gray anchors."
ZAN-V1-PRI-010,P1,lighting,zan_v1_pri_010_dark_gray_editorial.png,generated_candidates/logs/zan_v1_pri_010_dark_gray_editorial.json,/Users/nuzantara/.codex/generated_images/019e2d62-09d8-79f0-817b-3b884d5174a2/ig_06c149637901eafc016a0785e2f1dc81918b39b68c777a4b0c.png,approved_candidate,ZAN-V1-L004,approved/lighting-codex/zan_v1_l004_dark_gray_editorial.png,4.4,4.5,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Low-key editorial variant with retained eye detail."
ZAN-V1-PRI-011,P1,outfit,zan_v1_pri_011_charcoal_blouse.png,generated_candidates/logs/zan_v1_pri_011_charcoal_blouse.json,/Users/nuzantara/.codex/generated_images/019e2d62-09d8-79f0-817b-3b884d5174a2/ig_06c149637901eafc016a07861e53e08191b1a60461d78e46ed.png,approved_candidate,ZAN-V1-O001,approved/outfits-codex/zan_v1_o001_charcoal_blouse.png,4.4,4.5,4.7,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Alternate outfit accepted after face QA; do not use as uniform replacement."
ZAN-V1-PRI-012,P1,outfit,zan_v1_pri_012_black_blazer_studio.png,generated_candidates/logs/zan_v1_pri_012_black_blazer_studio.json,/Users/nuzantara/.codex/generated_images/019e2d62-09d8-79f0-817b-3b884d5174a2/ig_06c149637901eafc016a07869ca8408191aeba3d90eaa97fac.png,approved_candidate,ZAN-V1-O002,approved/outfits-codex/zan_v1_o002_black_blazer_studio.png,4.4,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Studio blazer variant; separate from the stronger office blazer hero anchor."
ZAN-V1-PRI-013,P2,jewelry,zan_v1_pri_013_no_earrings.png,generated_candidates/logs/zan_v1_pri_013_no_earrings.json,/Users/nuzantara/.codex/generated_images/019e2d6a-bdaa-7380-917c-871935ab8cfd/ig_0ded94a0b699b5a8016a07880fcb488191b4ff0954afcb54dc.png,approved_candidate,ZAN-V1-J001,approved/jewelry-hair-codex/zan_v1_j001_no_earrings.png,4.5,4.6,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Reduced-jewelry variant passed identity QA; useful when earrings are not appropriate."
ZAN-V1-PRI-014,P2,jewelry,zan_v1_pri_014_pearl_studs.png,generated_candidates/logs/zan_v1_pri_014_pearl_studs.json,/Users/nuzantara/.codex/generated_images/019e2d6a-bdaa-7380-917c-871935ab8cfd/ig_0ded94a0b699b5a8016a078852278081919196fde2f3960dc1.png,approved_candidate,ZAN-V1-J002,approved/jewelry-hair-codex/zan_v1_j002_pearl_studs.png,4.4,4.6,4.7,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Pearl studs are visible and controlled; use as alternate subtle jewelry variant."
ZAN-V1-PRI-015,P1,bali_context,zan_v1_pri_015_bali_rice_terrace.png,generated_candidates/logs/zan_v1_pri_015_bali_rice_terrace.json,/Users/nuzantara/.codex/generated_images/019e2d39-859d-7670-b50e-ed87c8d6f93b/ig_0604ae26883c2046016a077c5c68b88191a61ec15f44063cd6.png,approved_candidate,ZAN-V1-BALI-001,approved/anchors-bali-context-codex/zan_v1_bali_rice_terrace_golden.png,4.7,4.8,4.8,approved tree only; generated_candidates stays provenance,Already promoted as Bali rice terrace hero anchor.
ZAN-V1-PRI-016,P1,bali_context,zan_v1_pri_016_temple_courtyard.png,generated_candidates/logs/zan_v1_pri_016_temple_courtyard.json,/Users/nuzantara/.codex/generated_images/019e2d62-09d8-79f0-817b-3b884d5174a2/ig_06c149637901eafc016a07871a524c8191b8fa648309d57619.png,approved_candidate,ZAN-V1-BALI-005,approved/anchors-bali-context-codex/zan_v1_bali_temple_courtyard_codex.png,4.5,4.6,4.7,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Respectful Bali context; no costume framing or readable text."
ZAN-V1-PRI-017,P1,bali_context,zan_v1_pri_017_office_blazer.png,generated_candidates/logs/zan_v1_pri_017_office_blazer.json,/Users/nuzantara/.codex/generated_images/019e2d39-859d-7670-b50e-ed87c8d6f93b/ig_0604ae26883c2046016a077ca421848191a0a25ce84e2c0a45.png,approved_candidate,ZAN-V1-BALI-002,approved/anchors-bali-context-codex/zan_v1_office_blazer_bookshelf.png,4.7,4.8,4.8,approved tree only; generated_candidates stays provenance,Already promoted as office blazer hero anchor.
ZAN-V1-PRI-018,P2,bali_context,zan_v1_pri_018_banyan_cinematic.png,generated_candidates/logs/zan_v1_pri_018_banyan_cinematic.json,/Users/nuzantara/.codex/generated_images/019e2d6a-bdaa-7380-917c-871935ab8cfd/ig_0ded94a0b699b5a8016a0788c2aff4819188067aa70d0b1134.png,approved_candidate,ZAN-V1-BALI-006,approved/anchors-bali-context-codex/zan_v1_bali_banyan_cinematic_codex.png,4.4,4.5,4.6,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Strong environmental anchor; use for context/style, not close-up identity training."
ZAN-V1-PRI-019,P2,hair,zan_v1_pri_019_hair_behind_ears.png,generated_candidates/logs/zan_v1_pri_019_hair_behind_ears.json,/Users/nuzantara/.codex/generated_images/019e2d6a-bdaa-7380-917c-871935ab8cfd/ig_0ded94a0b699b5a8016a078949403c8191b7133846a40ed067.png,approved_candidate,ZAN-V1-H001,approved/jewelry-hair-codex/zan_v1_h001_hair_behind_ears.png,4.5,4.7,4.8,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Hairline and face shape remain coherent; useful for controlled hair variation."
ZAN-V1-PRI-020,P2,hair,zan_v1_pri_020_loose_low_bun.png,generated_candidates/logs/zan_v1_pri_020_loose_low_bun.json,/Users/nuzantara/.codex/generated_images/019e2d6a-bdaa-7380-917c-871935ab8cfd/ig_0ded94a0b699b5a8016a078987b2e08191b95e086b8fd0be49.png,approved_candidate,ZAN-V1-H002,approved/jewelry-hair-codex/zan_v1_h002_loose_low_bun.png,4.4,4.6,4.7,approved tree only; generated_candidates stays provenance,"Codex-generated, 2026-05-16. Low-bun variation passed close inspection; keep lower weight than straight-hair anchors."
ZAN-V1-GEN-002,extra,identity_anchor,zan_v1_gen_002_identity_front_slight_smile.png,generated_candidates/logs/zan_v1_gen_002_identity_front_slight_smile.json,/Users/nuzantara/.codex/generated_images/019e2d28-ed5e-7ad2-bea8-a5b66ee016da/ig_0927a045187f3bae016a077728f0148191a5ae95ef8e8462d4.png,approved_candidate,ZAN-V1-A006,approved/anchors/zan_v1_a006_front_slight_smile_anchor.png,4.6,4.7,4.8,approved tree only; generated_candidates stays provenance,Extra front slight-smile anchor outside priority queue; already promoted.
