machine	ref_short_name	sha	committer_date	uniq_files	top_paths
m5	Users_nuzantara_Desktop_nuzantara_.worktrees_codex-autofix-ci-runtime	583af552e11b36c84d2a8ca1cd051669f8f4686f	2026-05-31	NO_MERGEBASE	
m5	Users_balizero_.codex_worktrees_5b88_nuzantara	a8dd42e2741b0e6cb61ace915a70768570d6ae0a	2026-06-28	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_ops-organism-status-detector	16cf10b187f24b7bd2c11942b36a684b7e129515	2026-06-30	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_infra-guard-fuzz	d22cd4d983c7947246b8c8ea9ed37d10fe58daa8	2026-07-11	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_infra-regwatch-autoloop-canon	de83a6fca5265aa9a96e610ea3a019482d4be719	2026-07-13	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_ops-arm-triage	6285009605b8204dd99617b21f1774d73b71fdab	2026-07-13	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_ops-modus-autoloop-fix	ef057cb0cb991d17375282fcddb36b3a65242b12	2026-07-13	NO_MERGEBASE	
m5	Users_balizero_Desktop_nuzantara_.worktrees_backend-rag-kg-model-fix	a5d392e11671384f6284d383891184b7fc0d2408	2026-07-14	2	apps/backend-rag/scripts/kg_incremental_extraction.py,docs/AI_ONBOARDING.md
m5	Users_balizero_nuzantara_.worktrees_backend-rag-jsonb-cure-p2	2b0997b909e2507a71f1ace8660417bc164a0bfd	2026-07-16	2	.husky/_,apps/backend-rag/backend/db/migrations_v2/243_jsonb_string_scalar_organism_wide_backfill.sql
m5	Users_balizero_nuzantara_.worktrees_docs-codex56-docs	3af0772f8af206dd37addbeab3b49905e9d59cfb	2026-07-16	4	.claude/skills/modus/PENDING-ARMS.md,.claude/skills/modus/SKILL.md,.husky/_
m5	Users_balizero_nuzantara_.worktrees_docs-subhi-scope	dec9f974396dbf0a7ebf173d8eee5ad9e7f7309d	2026-07-16	2	.husky/_,CLAUDE.md
m5	Users_balizero_nuzantara_.worktrees_infra-inventory-regen	964f823d3057dad65295967330f52e461c651f6a	2026-07-16	1	.husky/_
m5	Users_balizero_nuzantara_.worktrees_infra-kbli-filiera-methodology	c0a1110e03cfb784f46e7f926f27c44ae0dfa8e4	2026-07-16	2	.husky/_,research/operations/2026-07-16-kbli-filiera-methodology.md
m5	Users_balizero_nuzantara_.worktrees_infra-kbli-garuda-filiera-workflow	4e2abd5ff4e5f75050b61127862341ff8594f993	2026-07-16	2	.husky/_,research/operations/2026-07-16-kbli-garuda-filiera-workflow.md
m5	Users_balizero_nuzantara_.worktrees_mouth-bkpm5-paidup-stale	5d17432ee739334d45a4a00c4b871655d9cc93ba	2026-07-16	5	.husky/_,apps/mouth/src/content/articles/immigration/spouse-dependent-work-rights.id.mdx,apps/mouth/src/content/articles/immigration/spouse-dependent-work-rights.it.mdx
m5	Users_balizero_nuzantara_.worktrees_wr2-complete-swift	8d8a8209e7ff059d5d09e7a63ead5d6fb4303d71	2026-07-16	9	.husky/_,apps/wr2-control-app/Sources/AppState.swift,apps/wr2-control-app/Sources/Localization.swift
m5	Users_balizero_nuzantara_.worktrees_wr2-variety-access	a5ba7a92ebf0200b042daf012d165384e57df360	2026-07-16	10	.claude/agents/wr2-design-architect-resources/architecture-patterns.md,.claude/agents/wr2-design-architect-resources/deep-research.md,.claude/agents/wr2-design-architect.md
m5	Users_balizero_nuzantara_.claude_worktrees_agent-a560c6265a7fb16b9	9478519bf9e0fa7e70ff1c5d48e164cf3edb7a98	2026-07-17	1	.husky/_
m5	Users_balizero_nuzantara_.worktrees_cicatrix-fix-telegram-token-rotation-2026-07-14	8e29b77c8693e3104fbbb436fb3d7fd8d8de52ea	2026-07-17	3	.claude/rules/cicatrix-scars.md,.husky/_,INDEX.md
m5	Users_balizero_nuzantara_.worktrees_crm-avatar-generator-close	c02a4b33129968e8b85a88978308e48f6119777e	2026-07-17	2	.claude/skills/modus/PENDING-ARMS.md,.husky/_
m5	Users_balizero_nuzantara_.worktrees_docs-docsync-2595	05b3495fa6a6c687d8dad1ebbdff09ad9b4b040b	2026-07-17	2	.husky/_,docs/AI_ONBOARDING.md
