finding_id,family,code,file,line,claim,confidence,runtime_dependent,suggested_fix
C-TRACE-001,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,360,KBLICode.code <- corpus kode_kbli_2025 verbatim; equals OSS kode for all 1559.,1.00,false,None; positive trace.
C-TRACE-002,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,364,KBLICode.titleId <- toTitleCase(corpus judul); NOT verbatim: 209/1559 codes differ from judul.,1.00,false,Render corpus judul verbatim or store the title-cased form as a separate display field.
C-TRACE-003,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,365,"KBLICode.titleEn <- ENGLISH_TITLES (OTHER_FILE kbli-english.ts) for 373 codes, else titleId; OSS judul_en==judul_id.",1.00,false,Label titleEn as an editorial translation; OSS provides no English judul.
C-TRACE-004,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,404,KBLICode.description <- corpus uraian verbatim (equals OSS uraian_id for 1559/1559).,1.00,false,None; positive trace.
C-TRACE-005,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,411,"KBLICode.keywords <- HEURISTIC extractKeywords(judul, uraian): lowercase, stopword-filtered, first 20; search-only.",1.00,false,None if search-only; document as derived.
C-TRACE-006,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,361,"KBLICode.section <- HEURISTIC 2-digit prefix map, not corpus sektor_id; sektor_id is null for 217 codes.",1.00,false,Document that section letter is derived from the code prefix; sektor_id is unused.
C-TRACE-007,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,406,KBLICode.sectionName <- HARDCODED SECTION_META in kbli-data.ts; no corpus or OSS source.,1.00,false,Cite the BPS section names source in SECTION_META.
C-TRACE-008,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,381,"KBLICode.licensing[] <- corpus per_skala[] (skala_usaha, kategori_risiko, perizinan, ...). ENRICHMENT; OSS has no per_skala.",1.00,false,None; positive trace.
C-TRACE-009,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,393,"KBLICode.transition <- corpus status_mapping, pp28_sources, kbli_2020_source, mapping_note, aggregation_note. ENRICHMENT.",1.00,false,None; positive trace.
C-TRACE-010,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-pma-disclosure.ts,46,KBLICode.pma <- corpus pma_* fields gated by pma_verification_status==located (54 codes); else all-unknown.,1.00,false,None; positive trace.
C-TRACE-011,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,412,KBLICode.intel_2026 <- corpus intel_2026 only when hash-certified (49 codes); zantaraOpener replaced by neutral text.,1.00,false,None; positive trace.
C-TRACE-012,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-bali-l4.ts,130,"BaliL4 <- corpus l4_bali re-read from the same JSON, gated by located PMA tuple; 54 of 1559 disclosed.",1.00,false,None; positive trace.
C-TRACE-013,FIELD_TRACE,,apps/kbli-navigator/app/kbli/[code]/page.tsx,9479,Detail page h1 renders titleEn (curated English or title-cased judul); corpus judul verbatim only as subtitle after title-case.,1.00,false,Render corpus judul verbatim in the subtitle; mark h1 as translation.
C-TRACE-014,FIELD_TRACE,,apps/kbli-navigator/app/kbli/[code]/page.tsx,9481,Detail page subtitle renders titleId = toTitleCase(judul); differs from corpus judul for 209/1559.,1.00,false,Use raw.judul for the Indonesian subtitle.
C-TRACE-015,FIELD_TRACE,,apps/kbli-navigator/app/kbli/[code]/page.tsx,10005,Detail page renders uraian verbatim only when no gold and no certified intel_2026; 49/1559 codes show editorial prose instead.,1.00,false,Always render corpus uraian (e.g. collapsible) alongside editorial prose.
C-TRACE-016,FIELD_TRACE,,apps/kbli-navigator/components/kbli/KBLICard.tsx,60,KBLICard renders titleEn (h3) and titleId (p); same non-verbatim pipeline as detail page.,1.00,false,See titleId/titleEn rows.
C-TRACE-017,FIELD_TRACE,,apps/kbli-navigator/app/kbli/[code]/page.tsx,55,"generateMetadata description <- uraian.slice(0,150)+'...' (HEURISTIC truncation); 1395/1559 uraian exceed 150 chars.",1.00,false,Truncate at word boundary and omit ellipsis when not truncated.
C-TRACE-018,FIELD_TRACE,,apps/kbli-navigator/components/kbli/KBLIStructuredData.tsx,9,"JSON-LD description <- uraian.slice(0,200) (HEURISTIC truncation); 1241/1559 uraian exceed 200 chars.",1.00,false,Document truncation or emit full uraian in structured data.
C-TRACE-019,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-search.ts,221,"Search scores titleEn, titleId, keywords, description; length penalty applies to 517 codes with uraian > 500 chars.",1.00,false,None; search-only.
C-TRACE-020,FIELD_TRACE,,apps/kbli-navigator/app/kbli/[code]/page.tsx,10213,"ZantaraChat context title <- titleEn, not corpus judul.",1.00,false,Pass judul verbatim in chat context alongside titleEn.
C-TRACE-021,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,456,"Loader parses raw.data[] without filtering on digits; corpus has 1559 5-digit records, all in OSS.",1.00,false,None; positive trace.
C-TRACE-022,FIELD_TRACE,,apps/kbli-navigator/lib/kbli-data.ts,1,"VERDICT: rendered judul is NOT verbatim (529 h1, 209 subtitle); uraian verbatim except 49 detail pages.",1.00,false,See lane_c_render_map.json for affected code lists.
C-SCHEMA-001,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,65,"KBLIRawCode omits corpus fields ruang_lingkup (1338 codes), bps_2020_ancestors, _l1_source, _l2_source, per_skala_legacy; never rendered.",1.00,false,Type and render ruang_lingkup; it is one of only four OSS fields.
C-SCHEMA-002,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,70,"sektor_id typed but never read; values are OSS sector ids like I.G (18 distinct), not letters A-U.",1.00,false,Either use sektor_id or drop it from the type.
C-SCHEMA-003,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,36,"KBLIScaleEntry requires pb_umku, parameter, sanksi_*; present in only 5 of 9095 per_skala entries.",1.00,false,Mark these fields optional in KBLIScaleEntry.
C-SCHEMA-004,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,29,per_skala entries carry scope_index/scope_uraian (9090 entries) linking to ruang lingkup; type and UI ignore them.,1.00,false,Expose scope_uraian so per-scale risk is shown per ruang lingkup.
C-SCHEMA-005,SCHEMA_DIVERGENCE,01122,apps/kbli-navigator/lib/kbli-types.ts,71,"status_mapping, pp28_sources, pma_max_asing, pma_kondisi, pma_prioritas, pma_nota typed required; absent on 1 record.",1.00,false,Mark optional; loader already defaults pp28_sources ?? [].
C-SCHEMA-006,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,74,"pma_max_asing typed number|special; corpus types: {'int': 1557, 'NoneType': 1, 'str': 1}.",1.00,false,Add null/undefined to the type.
C-SCHEMA-007,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,94,"intel_2026 type lists 6 keys; corpus also has editorial, whoThisIsFor, tkaInfo, coverImage, _l3_regen, _l3_gap_disclosure (ignored).",1.00,false,Extend the type or document ignored keys.
C-SCHEMA-008,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-types.ts,110,"KBLIRawDataFile.metadata type omits corpus metadata keys l4_bali_injected, l1_realign, pma_gov_fix_2026_06_27 etc.; version never checked.",1.00,false,Assert metadata.version at load time.
C-SCHEMA-009,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-data.ts,379,"Loader renames per_skala keys to camelCase and drops pb_umku, parameter, sanksi_*, jangka_waktu_source, scope_uraian.",1.00,false,Document dropped keys.
C-SCHEMA-010,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-editorial-certification.ts,104,Corpus intel_2026.zantaraOpener is always overwritten with a HARDCODED neutral opener; corpus value never shown.,1.00,false,None if intentional; document.
C-SCHEMA-011,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-bali-l4.ts,75,"l4_bali.confidence outside HIGH/MEDIUM/LOW defaults to MEDIUM; l4_bali.verdict, rule, verdict_state ignored.",1.00,false,Reject instead of defaulting confidence.
C-SCHEMA-012,SCHEMA_DIVERGENCE,,apps/kbli-navigator/lib/kbli-data.ts,221,SECTION_META has 22 entries (A-V) but V has no prefixes; only 21 sections receive codes.,1.00,false,Drop V or document.
C-HEUR-001,HEURISTIC,,apps/kbli-navigator/lib/kbli-data.ts,256,"toTitleCase lowercases then capitalises words except 15 stop-words; changes 209/1559 judul (acronyms, hyphens, parentheses).",1.00,false,Do not transform judul; OSS judul_id is already mixed case.
C-HEUR-002,HEURISTIC,,apps/kbli-navigator/lib/kbli-data.ts,348,"Tier: gold=2, silver=372 (has ENGLISH_TITLES), bronze=1185; silver reflects translation presence, not data quality.",1.00,false,Rename tier or base it on verified content.
C-HEUR-003,HEURISTIC,,apps/kbli-navigator/lib/kbli-data.ts,539,Related codes = same 3-digit prefix then same section; ignores OSS hierarchy records (2/3/4-digit) present in ground truth.,1.00,false,Use OSS 4-digit parent from ground truth.
C-HEUR-004,HEURISTIC,,apps/kbli-navigator/components/kbli/RiskBadge.tsx,9,RiskBadge maps kategori_risiko by substring (menengah+tinggi etc.); all 4 corpus values map cleanly.,1.00,false,None.
C-HEUR-005,HEURISTIC,,apps/kbli-navigator/components/kbli/LicensingSection.tsx,351,"LicensingSection adds English glosses by substring match on kewajiban text (enrichment field, not OSS).",1.00,false,None; document.
C-HARD-001,HARDCODED,,apps/kbli-navigator/lib/kbli-data.ts,91,TO VERIFY: SECTION_META nameId/nameEn strings are hardcoded; OSS ground truth has no 1-digit section records to check them against.,0.90,false,Cite BPS section names source or load from ground truth.
