account_handle,tribe,status,rows_done,started_at,finished_at,notes
lawbali,agency,todo,0,,,
emerhub,agency,todo,0,,,
incorp_indonesia,agency,todo,0,,,
cekindo_official,agency,todo,0,,,
permitindo,agency,todo,0,,,
balisolutions,agency,todo,0,,,
bli_bali,agency,todo,0,,,
kiradigital,agency,todo,0,,,
indolegal,agency,todo,0,,,
bambuhijau_konsultan,agency,todo,0,,,
solopreneur_bali,influencer,todo,0,,,
digitalnomadworld,influencer,todo,0,,,
nomadgate,influencer,todo,0,,,
nomadsembassy,influencer,todo,0,,,
balibuddha,influencer,todo,0,,,
reneesylvestre,influencer,todo,0,,,
thebalibible,influencer,todo,0,,,
indoexpatcommunity,influencer,todo,0,,,
