Company Name,Status,Fields Updated
PT BALI SIDDHAS CENTER,OK,11 fields
PT BOO International Hotel,OK,5 fields
PT BPW Euro Service Holiday,OK,11 fields
PT Bali Niskala Putih,OK,10 fields
PT Bali Nol Impresariat,FAIL,0
PT Bali Nol Konsultan,FAIL,0
PT Bali Nusa Indo Perkasa,OK,6 fields
PT Bali Ocio Events,OK,11 fields
PT Bali Ombak Sejahtera,OK,7 fields
PT Bali Palms Resort,OK,9 fields
PT Bali Pari International,OK,9 fields
PT Bali Pleasure Island,FAIL,0
PT Bali Privilege Ducat,OK,11 fields
PT Bali Property Consulting,OK,11 fields
PT Balinesian Invest Group,OK,11 fields
PT Balinoie,FAIL,0
PT Balissima Roberta Capriulo,OK,11 fields
PT Balita Bali Busana,OK,8 fields
PT Baliwood Projects Inc,OK,8 fields
PT Baliwood Surf Villas,OK,11 fields
PT Banigati Betegak,OK,11 fields
PT Banjar Padma Bintang,OK,11 fields
PT Bloomz Flowers and Events Bali,OK,11 fields
PT CBL Business Excellence,EMPTY_FOLDER,0
PT Cegs Coastal Inv,EMPTY_FOLDER,0
PT Cnctd Investments Bali,OK,10 fields
PT Coastal Villa Group,OK,11 fields
PT Coco Bulan Indah,OK,10 fields
PT Coco Travel Bali,OK,11 fields
PT Coconut Real Living,OK,3 fields
PT Colo Associates Indonesia,OK,16 fields
PT Composers Space Units,OK,11 fields
PT Conti Marketing Consulting,OK,12 fields
PT Contracting Empire Indonesia,OK,10 fields
PT Contrade,FAIL,0
PT Cookish Food Delivery,OK,13 fields
PT Core Connection Consultans,OK,11 fields
PT Craft Home Estate,OK,11 fields
PT Cre Media Group,OK,8 fields
PT Creation and Consulting Development,OK,10 fields
PT Creative Art Design,OK,11 fields
PT Creative Growth Collective,OK,12 fields
PT Creative Solution International,OK,8 fields
PT Creative Solutions Architect,FAIL,0
PT Creativity Art Love,OK,11 fields
PT Crew Creative Studios,OK,11 fields
PT Crypto Cultur Group,OK,8 fields
PT Cryptorecruit Global Research,OK,10 fields
PT Culinary Cooking Experience,OK,5 fields
PT Custom Bali Solutions,OK,5 fields
PT Cyber Consulting Service,OK,11 fields
PT DDA Real Estate,OK,9 fields
PT DGJ Bali Hospitality Consulting,OK,11 fields
PT DIVINE ELIXIR GROUP,OK,14 fields
PT DRR Padi Padi,OK,11 fields
PT DVHB Global Team,OK,11 fields
PT Daba Property Management,OK,11 fields
PT Daewon Trading Dewata,OK,8 fields
PT Daha Investments Indonesia,OK,10 fields
PT Dala Bali Event Travel,OK,11 fields
PT Damao Shine Indonesia,OK,10 fields
PT Dambur Media Consulting,OK,11 fields
PT Dansons Dance Studio,OK,12 fields
PT Dasintera Peaceful House,OK,10 fields
PT Davi Media Consulting,OK,11 fields
PT David Georges Property,OK,11 fields
PT Davidson Villas Investment,OK,10 fields
PT De Purist,NO_PDFS,0
PT Decor Homeware Trading,FAIL,0
PT Deep East Management,OK,7 fields
PT Dekorasi Rumah Unik,FAIL,0
PT Delavega Prima Ubud,OK,9 fields
PT Della Santa Studios,OK,9 fields
PT Delrai Overseas International,OK,9 fields
PT Delta Musik Produksi,NO_PDFS,0
PT Demonia Perkasa,OK,9 fields
PT Dennis and Jonathan Corp,OK,10 fields
PT Deridder Investments Bali,OK,10 fields
PT Desa Seni Canggu,NO_PDFS,0
PT Desi Der Dewi,FAIL,0
PT Desy Nails Ganesa,OK,11 fields
PT Dewa Langit Consulting,OK,9 fields
PT Dewata Flavor Journey,OK,10 fields
PT Diam Kita Menjahit,OK,7 fields
PT Dian Media Consulting,OK,10 fields
PT Dibali Real Estates,OK,10 fields
PT Digital Nomads Cafe,OK,9 fields
PT Dilute Digital Agency,OK,11 fields
PT Dine Art Management,OK,10 fields
